headword,pronunciation,Pron
morfológica,m o ɾ f o ˈ l o x i k a,m o ɾ f o l O x i k a
morfológicamente,m o ɾ f o ˈ l o x i k a ˈ m e n̪ t e,m o ɾ f o l O x i k a m E n̪ t e
morfológicas,m o ɾ f o ˈ l o x i k a s,m o ɾ f o l O x i k a s
morfológico,m o ɾ f o ˈ l o x i k o,m o ɾ f o l O x i k o
morfológicos,m o ɾ f o ˈ l o x i k o s,m o ɾ f o l O x i k o s
morfosintaxis,m o ɾ f o s i n̪ ˈ t a x i s,m o ɾ f o s i n̪ t A x i s
morfón,m o ɾ ˈ f o n,m o ɾ f O n
morgue,ˈ m o ɾ ɣ e,m O ɾ ɣ e
morigerando,ˈ a n̪ d o,A n̪ d o
morigerar,m o ɾ i x e ˈ ɾ a ɾ,m o ɾ i x e ɾ A ɾ
morir,m o ˈ ɾ i ɾ,m o ɾ I ɾ
morisqueta,m o ɾ i s ˈ k e t a,m o ɾ i s k E t a
mormonismo,m o ɾ m o ˈ n i s m o,m o ɾ m o n I s m o
mormoso,m o ɾ ˈ m o s o,m o ɾ m O s o
mormullar,m o ɾ m u ˈ ʝ a ɾ,m o ɾ m u ʝ A ɾ
mormullar,m o ɾ m u ˈ ʎ a ɾ,m o ɾ m u ʎ A ɾ
moro,ˈ m o ɾ o,m O ɾ o
morocho,m o ˈ ɾ o t ʃ o,m o ɾ O t ʃ o
moroedje,m o ɾ o ˈ e ð x e,m o ɾ o E ð x e
morondanga,m o ɾ o n ˈ d a n g a,m o ɾ o n d A n g a
morral,m o ˈ r a l,m o r A l
morrina,m o ˈ r i n a,m o r I n a
morriña,m o ˈ r i ɲ a,m o r I ɲ a
morro,ˈ m o r o,m O r o
morrocotudo,m o r o k o ˈ t u ð o,m o r o k o t U ð o
morronga,m o ˈ r o ŋ g a,m o r O ŋ g a
morrongo,m o ˈ r o ŋ g o,m o r O ŋ g o
morrongos,m o ˈ r o ŋ g o s,m o r O ŋ g o s
morsa,ˈ m o ɾ s a,m O ɾ s a
morsas,ˈ m o ɾ s a s,m O ɾ s a s
mortadela,m o ɾ t a ˈ ð e l a,m o ɾ t a ð E l a
mortaja,m o ɾ ˈ t a x a,m o ɾ t A x a
mortajas,m o ɾ ˈ t a x a s,m o ɾ t A x a s
mortalidad,m o ɾ t a l i ˈ ð a ð,m o ɾ t a l i ð A ð
mortar,m o r ˈ t a r,m o r t A r
mortificando,ˈ a n̪ d o,A n̪ d o
mortificar,m o ɾ t i f i ˈ k a ɾ,m o ɾ t i f i k A ɾ
mortiguando,ˈ a n̪ d o,A n̪ d o
mortiguar,a m o ɾ t i ˈ ɰ w a ɾ,a m o ɾ t i ɰ w A ɾ
mortuorio,m o ɾ ˈ t w o ɾ j o,m o ɾ t w O ɾ j o
mortuorios,m o ɾ ˈ t w o ɾ j o s,m o ɾ t w O ɾ j o s
mortífera,m o ɾ ˈ t i f e ɾ a,m o ɾ t I f e ɾ a
mortíferas,m o ɾ ˈ t i f e ɾ a s,m o ɾ t I f e ɾ a s
mortífero,m o ɾ ˈ t i f e ɾ o,m o ɾ t I f e ɾ o
mortíferos,m o ɾ ˈ t i f e ɾ o s,m o ɾ t I f e ɾ o s
mosaico,m o ˈ s a j k o,m o s A j k o
mosca,ˈ m o s k a,m O s k a
moscas,ˈ m o s k a s,m O s k a s
moscovitas,m o s k o ˈ b i t a s,m o s k o b I t a s
mosquerío,m o s k e ˈ ɾ i o,m o s k e ɾ I o
mosqueríos,m o s k e ˈ ɾ i o s,m o s k e ɾ I o s
mosqueta,m o s ˈ k e t a,m o s k E t a
mostacero,m o s t a ˈ s e ɾ o,m o s t a s E ɾ o
mostacero,m o s t a ˈ θ e ɾ o,m o s t a θ E ɾ o
mostacho,m o s ˈ t a t ʃ o,m o s t A t ʃ o
mostachos,m o s ˈ t a t ʃ o s,m o s t A t ʃ o s
mostachón,m o s t a ˈ t ʃ o n,m o s t a t ʃ O n
mostaza,m o s ˈ t a θ a,m o s t A θ a
mostela,m o s ˈ t e l a,m o s t E l a
mostelas,m o s ˈ t e l a s,m o s t E l a s
mostelera,m o s t e ˈ l e ɾ a,m o s t e l E ɾ a
mosteleras,m o s t e ˈ l e ɾ a s,m o s t e l E ɾ a s
mostrando,ˈ a n̪ d o,A n̪ d o
mostrarás,m o s t ɾ a ˈ ɾ a s,m o s t ɾ a ɾ A s
mote,ˈ m o t e,m O t e
motemey,m o t e ˈ m e j,m o t e m E j
moteméi,m o t e e ˈ m e i,m o t e e m E i
motilando,ˈ a n̪ d o,A n̪ d o
motilar,m o t i ˈ l a ɾ,m o t i l A ɾ
motilarse,m o t i ˈ l a ɾ s e,m o t i l A ɾ s e
motilases,m o t i ˈ l a s e s,m o t i l A s e s
motivando,ˈ a n̪ d o,A n̪ d o
moto,ˈ m o t o,m O t o
motocicleta,m o t o θ i ˈ k l e t a,m o t o θ i k l E t a
motola,m o ˈ t o l a,m o t O l a
motoneta,m o t o ˈ n e t a,m o t o n E t a
motoquero,m o t o ˈ k e ɾ o,m o t o k E ɾ o
motor,m o ˈ t o ɾ,m o t O ɾ
motora,m o ˈ t o ɾ a,m o t O ɾ a
motoras,m o ˈ t o ɾ a s,m o t O ɾ a s
motores,m o ˈ t o ɾ e s,m o t O ɾ e s
motorio,m o ˈ t o ɾ j o,m o t O ɾ j o
motos,ˈ m o t o s,m O t o s
motrices,m o ˈ t ɾ i θ e s,m o t ɾ I θ e s
motrices,m o ˈ t ɾ i s e s,m o t ɾ I s e s
motriz,m o ˈ t ɾ i θ,m o t ɾ I θ
motriz,m o ˈ t ɾ i s,m o t ɾ I s
motón,m o ˈ t o n,m o t O n
mouse,ˈ m a w s,m A w s
moved,m o ˈ β e ð,m o β E ð
mover,m o ˈ β e ɾ,m o β E ɾ
movible,m o ˈ β i b l e,m o β I b l e
moviendo,ˈ j e n̪ d o,j E n̪ d o
movilidad,m o β i l i ˈ ð a ð,m o β i l i ð A ð
movimiento,m o β i ˈ m j e n t o,m o β i m j E n t o
movimientos,m o β i ˈ m j e n t o s,m o β i m j E n t o s
moyo,ˈ m o ʝ o,m O ʝ o
moyuelo,m o ˈ ʝ w e l o,m o ʝ w E l o
mozambiqueña,m o s a m b i ˈ k e ɲ a,m o s a m b i k E ɲ a
mozambiqueñas,m o s a m b i ˈ k e ɲ a s,m o s a m b i k E ɲ a s
mozas,ˈ m o θ a s,m O θ a s
mozas,ˈ m o s a s,m O s a s
mozo,ˈ m o θ o,m O θ o
mozo,ˈ m o s o,m O s o
moño,ˈ m o ɲ o,m O ɲ o
mu,ˈ m u,m U
mucha,ˈ m u t ʃ a,m U t ʃ a
muchacha,m u ˈ t ʃ a t ʃ a,m u t ʃ A t ʃ a
muchachada,m u t ʃ a ˈ t ʃ a ð a,m u t ʃ a t ʃ A ð a
muchachas,m u ˈ t ʃ a t ʃ a s,m u t ʃ A t ʃ a s
muchacheando,ˈ a n̪ d o,A n̪ d o
muchachear,m u t ʃ a t ʃ e ˈ a ɾ,m u t ʃ a t ʃ e A ɾ
muchachería,m u t ʃ a t ʃ e ˈ ɾ i a,m u t ʃ a t ʃ e ɾ I a
muchachez,m u t ʃ a ˈ t ʃ e s,m u t ʃ a t ʃ E s
muchachez,m u t ʃ a ˈ t ʃ e θ,m u t ʃ a t ʃ E θ
muchachismo,m u t ʃ a ˈ t ʃ i s m o,m u t ʃ a t ʃ I s m o
muchacho,m u ˈ t ʃ a t ʃ o,m u t ʃ A t ʃ o
muchadumbre,m u t ʃ a ˈ ð u m b ɾ e,m u t ʃ a ð U m b ɾ e
muchas,ˈ m u t ʃ a s,m U t ʃ a s
muchedumbre,m u t ʃ e ˈ ð u m b ɾ e,m u t ʃ e ð U m b ɾ e
mucho,ˈ m u t ʃ o,m U t ʃ o
muchos,ˈ m u t ʃ o s,m U t ʃ o s
muchísima,m u ˈ t ʃ i s i m a,m u t ʃ I s i m a
muchísimas,m u ˈ t ʃ i s i m a s,m u t ʃ I s i m a s
muchísimo,m u ˈ t ʃ i s i m o,m u t ʃ I s i m o
muchísimos,m u ˈ t ʃ i s i m o s,m u t ʃ I s i m o s
mucilago,m u θ i ˈ l a ɰ o,m u θ i l A ɰ o
mucosidad,m u k o s i ˈ ð a ð,m u k o s i ð A ð
mucoso,m u ˈ k o s o,m u k O s o
mucre,ˈ m u k ɾ e,m U k ɾ e
mucronado,m u k ɾ o ˈ n a ð o,m u k ɾ o n A ð o
mucronata,m u k ɾ o ˈ n a t a,m u k ɾ o n A t a
mucronato,m u k ɾ o ˈ n a t a,m u k ɾ o n A t a
mucroniforme,m u k ɾ o n i ˈ f o ɾ m e,m u k ɾ o n i f O ɾ m e
mucronífero,m u k ɾ o ˈ n i f e ɾ o,m u k ɾ o n I f e ɾ o
mucrón,m u ˈ k ɾ o n,m u k ɾ O n
mucróneo,m u ˈ k ɾ o n e o,m u k ɾ O n e o
mucuna,m u ˈ k u n a,m u k U n a
mucura,m u ˈ k u ɾ a,m u k U ɾ a
mucus,ˈ m u k u s,m U k u s
mudable,m u ˈ ð a β l e,m u ð A β l e
mudando,ˈ a n̪ d o,A n̪ d o
mudanza,m u ˈ ð a n θ a,m u ð A n θ a
mudanza,m u ˈ ð a n s a,m u ð A n s a
mudar,m u ˈ ð a ɾ,m u ð A ɾ
mudas,ˈ m u ð a s,m U ð a s
mudeces,m u ˈ ð e θ e s,m u ð E θ e s
mudeces,m u ˈ ð e s e s,m u ð E s e s
mudez,m u ˈ ð e θ,m u ð E θ
mudez,m u ˈ ð e s,m u ð E s
mudos,ˈ m u ð o s,m U ð o s
mueca,ˈ m w e k a,m w E k a
muellaje,m w e ˈ ʎ e x e,m w e ʎ E x e
muellaje,m w e ˈ ʝ a x e,m w e ʝ A x e
muelle,ˈ m w e ʝ e,m w E ʝ e
muelle,ˈ m w e ʎ e,m w E ʎ e
muellemente,m w e ʝ e ˈ m e n t e,m w e ʝ e m E n t e
muellemente,m w e ʎ e ˈ m e n t e,m w e ʎ e m E n t e
muelles,ˈ m w e ʎ e s,m w E ʎ e s
muerta,ˈ m w e ɾ t a,m w E ɾ t a
muertas,ˈ m w e ɾ t a s,m w E ɾ t a s
muerte,ˈ m w e ɾ t e,m w E ɾ t e
muerto,ˈ m w e ɾ t o,m w E ɾ t o
muertos,ˈ m w e ɾ t o s,m w E ɾ t o s
muescó,m w e s ˈ k o,m w e s k O
muesli,ˈ m w e s l i,m w E s l i
muestreo,m w e s ˈ t ɾ e o,m w e s t ɾ E o
mufando,ˈ a n̪ d o,A n̪ d o
muga,ˈ m u ɰ a,m U ɰ a
mugando,ˈ a n̪ d o,A n̪ d o
mugar,m u ɣ a ɾ,m u ɣ a ɾ
mugidos,m u ˈ x i ð o s,m u x I ð o s
mugre,ˈ m u ɰ ɾ e,m U ɰ ɾ e
mugriento,m u ˈ ɰ ɾ j e n t o,m u ɰ ɾ j E n t o
muguete,m u ˈ g e t e,m u g E t e
muhadiz,m u ˈ h a ð i θ,m u h A ð i θ
mui,m w i,m w i
muir,m u ˈ i ɾ,m u I ɾ
muis,ˈ m w i s,m w I s
muisca,ˈ mʷ ɨ s k a,mʷ ɨ s k A
muiscas,ˈ m w i s k a s,m w I s k a s
muisquismo,m w i s ˈ k i s m o,m w i s k I s m o
mujer,m u ˈ x e ɾ,m u x E ɾ
mujercita,m u x e ɾ ˈ s i t a,m u x e ɾ s I t a
mujeres,m u ˈ x e ɾ e s,m u x E ɾ e s
mujic,m u ˈ x i k,m u x I k
mula,ˈ m u l a,m U l a
muladar,m u l a ˈ ð a ɾ,m u l a ð A ɾ
muladares,m u l a ˈ ð a ɾ e s,m u l a ð A ɾ e s
mulateando,ˈ a n̪ d o,A n̪ d o
mulatear,m u l a t e ˈ a ɾ,m u l a t e A ɾ
muletilla,m u l e ˈ t i ʎ a,m u l e t I ʎ a
mullendo,m u ˈ ʝ e n̪ d o,m u ʝ E n̪ d o
mullendo,m u ˈ ʎ e n̪ d o,m u ʎ E n̪ d o
mullir,m u ˈ ʎ i ɾ,m u ʎ I ɾ
mullir,m u ˈ ʝ i ɾ,m u ʝ I ɾ
mullirá,m u ʎ i ˈ ɾ a,m u ʎ i ɾ A
mullirá,m u ʝ i ˈ ɾ a,m u ʝ i ɾ A
mullita,m u ˈ ʎ i t a,m u ʎ I t a
multes,ˈ m u l t e s,m U l t e s
multi-,ˈ m u l t i,m U l t i
multicasco,m u l t i ˈ k a s k o,m u l t i k A s k o
multicascos,m u l t i ˈ k a s k o s,m u l t i k A s k o s
multicaule,m u l t i ˈ k a w l e,m u l t i k A w l e
multicopista,m u l t i k o ˈ p i s t a,m u l t i k o p I s t a
multilenguaje,m u l t i l e ŋ ˈ g w a x e,m u l t i l e ŋ g w A x e
multilingüe,m u l t i ˈ l i ŋ g w e,m u l t i l I ŋ g w e
multilingües,ˌ m u l t i ˈ l i ŋ g w e s,ˌ m u l t i l I ŋ g w e s
multimedia,m u l t i ˈ m e d j a,m u l t i m E d j a
multinacional,n b s p,n b s p
multiplica,m u l t i ˈ p l i k a,m u l t i p l I k a
multiplicación,m u l t i p l i k a ˈ θ j o n,m u l t i p l i k a θ j O n
multiplicamos,m u l t i p l i ˈ k a m o s,m u l t i p l i k A m o s
multiplicar,m u l t i p l i ˈ k a ɾ,m u l t i p l i k A ɾ
multiplicarse,m u l t i p l i ˈ k a ɾ s e,m u l t i p l i k A ɾ s e
multitudinario,m u l t i ˌ t u ð i ˈ n a ɾ j o,m u l t i ˌ t u ð i n A ɾ j o
mumuja,m u ˈ m u x a,m u m U x a
mundana,m u n̪ ˈ d a n a,m u n̪ d A n a
mundanas,m u n̪ ˈ d a n a s,m u n̪ d A n a s
mundano,m u n̪ ˈ d a n o,m u n̪ d A n o
mundanos,m u n̪ ˈ d a n o s,m u n̪ d A n o s
mundo,ˈ m u n̪ d o,m U n̪ d o
mundos,ˈ m u n̪ d o s,m U n̪ d o s
muneteando,ˈ a n̪ d o,A n̪ d o
munetear,m u n e ˈ t e a ɾ,m u n e t E a ɾ
municipio,m u n i ˈ θ i p j o,m u n i θ I p j o
munificencia,m u n i f i ˈ θ e n θ j a,m u n i f i θ E n θ j a
munificencia,m u n i f i ˈ s e n s j a,m u n i f i s E n s j a
munífico,m u ˈ n i f i k o,m u n I f i k o
muon,ˈ m w o n,m w O n
muones,ˈ m w o n e s,m w O n e s
muradal,m u ɾ a ˈ ð a l,m u ɾ a ð A l
muradales,m u ɾ a ˈ ð a l e s,m u ɾ a ð A l e s
mural,m u ˈ ɾ a l,m u ɾ A l
muralla,m u ˈ ɾ a ʝ a,m u ɾ A ʝ a
muralla,m u ˈ ɾ a ʎ a,m u ɾ A ʎ a
murar,m u ˈ ɾ a ɾ,m u ɾ A ɾ
murciana,m u ɾ ˈ θ j a n a,m u ɾ θ j A n a
murciana,m u ɾ ˈ s j a n a,m u ɾ s j A n a
murcianas,m u ɾ ˈ θ j a n a s,m u ɾ θ j A n a s
murcianas,m u ɾ ˈ s j a n a s,m u ɾ s j A n a s
murciélago,m u ɾ ˈ s j e l a ɰ o,m u ɾ s j E l a ɰ o
murciélago,m u ɾ ˈ θ j e l a ɰ o,m u ɾ θ j E l a ɰ o
muriendo,m u ˈ ɾ j e n̪ d o,m u ɾ j E n̪ d o
muriéndose,m u ˈ ɾ j e n̪ d o s e,m u ɾ j E n̪ d o s e
murmujear,m u ɾ m u x e ˈ a ɾ,m u ɾ m u x e A ɾ
murmullar,m u ɾ m u ˈ ʎ a ɾ,m u ɾ m u ʎ A ɾ
murmullar,m u ɾ m u ˈ ʝ a ɾ,m u ɾ m u ʝ A ɾ
murmuración,m u ɾ m u ɾ a ˈ s j o n,m u ɾ m u ɾ a s j O n
murmuración,m u ɾ m u ɾ a ˈ θ j o n,m u ɾ m u ɾ a θ j O n
murmurador,m u ɾ m u ɾ a ˈ ð o ɾ,m u ɾ m u ɾ a ð O ɾ
murmurar,m u ɾ m u ˈ ɾ a ɾ,m u ɾ m u ɾ A ɾ
murmurear,m u ɾ m u ɾ e ˈ a ɾ,m u ɾ m u ɾ e A ɾ
murmurio,m u ɾ ˈ m u ɾ j o,m u ɾ m U ɾ j o
muro,ˈ m u ɾ o,m U ɾ o
murrapo,m u ˈ r a p o,m u r A p o
murrapos,m u ˈ r a p o s,m u r A p o s
murrera,m u ˈ r e ɾ a,m u r E ɾ a
murta,ˈ m u ɾ t a,m U ɾ t a
mus,m u s,m u s
musando,ˈ a n̪ d o,A n̪ d o
musar,m u ˈ s a ɾ,m u s A ɾ
musculación,m u s k u l a ˈ θ j o n,m u s k u l a θ j O n
musculando,ˈ a n̪ d o,A n̪ d o
muscular,m u s k u ˈ l a ɾ,m u s k u l A ɾ
musculatura,m u s k u l a ˈ t u ɾ a,m u s k u l a t U ɾ a
musculoso,m u s k u ˈ l o s o,m u s k u l O s o
muselina,m u s e ˈ l i n a,m u s e l I n a
museo,m u ˈ θ e o,m u θ E o
museo,m u ˈ s e o,m u s E o
musequí,m u s e ˈ k i,m u s e k I
muserola,m u s e ˈ ɾ o l a,m u s e ɾ O l a
musgo,ˈ m u s ɰ o,m U s ɰ o
musical,m u s i ˈ k a l,m u s i k A l
musicalidad,m u s i k a l i ˈ ð a ð,m u s i k a l i ð A ð
musicalizando,ˈ a n̪ d o,A n̪ d o
musicalmente,m u s i ˈ k a l ˈ m e n̪ t e,m u s i k A l m E n̪ t e
musicando,ˈ a n̪ d o,A n̪ d o
musicar,m u s i ˈ k a ɾ,m u s i k A ɾ
musicología,m u s i k o l o ˈ x i a,m u s i k o l o x I a
musique,m u ˈ s i k e,m u s I k e
musirse,m u ˈ s i ɾ s e,m u s I ɾ s e
musitando,ˈ a n̪ d o,A n̪ d o
musitar,m u s i ˈ t a ɾ,m u s i t A ɾ
muslim,m u s ˈ l i m,m u s l I m
muslime,m u s ˈ l i m e,m u s l I m e
muslo,ˈ m u s l o,m U s l o
mustaco,m u s ˈ t a k o,m u s t A k o
mustiar,m u s ˈ t j a ɾ,m u s t j A ɾ
mustiarse,m u s ˈ t j a ɾ s e,m u s t j A ɾ s e
musulmán,m u s u l ˈ m a n,m u s u l m A n
mutación,m u t a ˈ θ j o n,m u t a θ j O n
mutagenicidad,m u t a x e n i s i ˈ ð a ð,m u t a x e n i s i ð A ð
mutagenicidad,m u t a x e n i θ i ˈ ð a ð,m u t a x e n i θ i ð A ð
mutagénesis,ˌ m u t a ˈ x e n e s i s,ˌ m u t a x E n e s i s
mutante,e ˈ x e m p l o,e x E m p l o
mutilación,m u t i l a ˈ θ j o n,m u t i l a θ j O n
mutismo,m u ˈ t i s m o,m u t I s m o
mutismos,m u ˈ t i s m o s,m u t I s m o s
mutual,m u ˈ t w a l,m u t w A l
mutuales,m u ˈ t w a l e s,m u t w A l e s
mutualidad,m u t w a l i ˈ ð a ð,m u t w a l i ð A ð
mutualidades,m u t w a l i ˈ ð a ð e s,m u t w a l i ð A ð e s
mutualismo,m u t w a ˈ l i s m o,m u t w a l I s m o
mutualismos,m u t w a ˈ l i s m o s,m u t w a l I s m o s
mutualista,m u t w a ˈ l i s t a,m u t w a l I s t a
mutualistas,m u t w a ˈ l i s t a s,m u t w a l I s t a s
mutualmente,m u ˈ t w a l ˈ m e n̪ t e,m u t w A l m E n̪ t e
mutuamente,ˈ m u t w a ˈ m e n̪ t e,m U t w a m E n̪ t e
mutuas,ˈ m u t w a s,m U t w a s
mutuo,ˈ m u t w o,m U t w o
mutuos,ˈ m u t w o s,m U t w o s
muy,m u j,m u j
muyahid,m u ʝ a ˈ h i ð,m u ʝ a h I ð
muyahidín,m u ʝ a h i ˈ ð i n,m u ʝ a h i ð I n
muyáhid,m u ˈ ʝ a h i d,m u ʝ A h i d
muzzarella,m u t s a ˈ ɾ e l a o m u s a ˈ ɾ e l a,m u t s a ɾ E l a o m u s a ɾ E l a
muérdago,ˈ m w e ɾ ð a ɣ o,m w E ɾ ð a ɣ o
muérdagos,ˈ m w e ɾ ð a ɣ o s,m w E ɾ ð a ɣ o s
muérgana,ˈ m w e r ɣ a n a,m w E r ɣ a n a
muérganas,ˈ m w e r ɣ a n a s,m w E r ɣ a n a s
muérgano,ˈ m w e r ɣ a n o,m w E r ɣ a n o
muérganos,ˈ m w e r ɣ a n o s,m w E r ɣ a n o s
muí,m u ˈ i,m u I
muís,m u ˈ i s,m u I s
muña,ˈ m u ɲ a,m U ɲ a
muñeca,m u ˈ ɲ e k a,m u ɲ E k a
muñeira,m u ˈ ɲ e j ɾ a,m u ɲ E j ɾ a
muñendo,m u ˈ ɲ e n̪ d o,m u ɲ E n̪ d o
muñequera,m u ɲ e ˈ k e ɾ a,m u ɲ e k E ɾ a
muñeren,m u ˈ ɲ e ɾ e n,m u ɲ E ɾ e n
muñidor,m u ɲ i ˈ ð o ɾ,m u ɲ i ð O ɾ
muñidora,m u ɲ i ˈ ð o ɾ a,m u ɲ i ð O ɾ a
muñidoras,m u ɲ i ˈ ð o ɾ a s,m u ɲ i ð O ɾ a s
muñidores,m u ɲ i ˈ ð o ɾ e s,m u ɲ i ð O ɾ e s
muñir,m u ˈ ɲ i ɾ,m u ɲ I ɾ
muñoncito,m u ɲ o n ˈ s i t o,m u ɲ o n s I t o
muñoncito,m u ɲ o n ˈ θ i t o,m u ɲ o n θ I t o
muón,m u ˈ o n,m u O n
máchmetro,ˈ m a t ʃ m e t r o,m A t ʃ m e t r o
mácrones,ˈ m a k ɾ o n e s,m A k ɾ o n e s
mácula,ˈ m a k u l a,m A k u l a
mágico,ˈ m a x i k o,m A x i k o
mágnum,ˈ m a g n u m,m A g n u m
málaga,ˈ m a l a ˈ ɰ a,m A l a ɰ A
máncer,ˈ m a n s e ɾ,m A n s e ɾ
máncer,ˈ m a n θ e ɾ,m A n θ e ɾ
mánticas,ˈ m a n̪ t i k a s,m A n̪ t i k a s
mántico,ˈ m a n̪ t i k o,m A n̪ t i k o
mánticos,ˈ m a n̪ t i k o s,m A n̪ t i k o s
máquina,ˈ m a k i n a,m A k i n a
máquinas,ˈ m a k i n a s,m A k i n a s
márgenes,ˈ m a ɾ x e n e s,m A ɾ x e n e s
márketing,ˈ m a ɾ k e t i ŋ,m A ɾ k e t i ŋ
mármol,ˈ m a ɾ m o l,m A ɾ m o l
mártir,ˈ m a ɾ t i ɾ,m A ɾ t i ɾ
más,ˈ m a s,m A s
máscaras,e ˈ x e m p l o,e x E m p l o
mástil,ˈ m a s t i l,m A s t i l
mástiles,ˈ m a s t i l e s,m A s t i l e s
máximo,ˈ m a k s i m o,m A k s i m o
médano,ˈ m e ð a n o,m E ð a n o
médica,ˈ m e ð i k a,m E ð i k a
médicas,ˈ m e ð i k a s,m E ð i k a s
médico,ˈ m e ð i k o,m E ð i k o
médicos,ˈ m e ð i k o s,m E ð i k o s
médium,,
médiums,,
médula,ˈ m e ð u l a,m E ð u l a
mélicos,ˈ m e l i k o s,m E l i k o s
ménade,ˈ m e n a ð e,m E n a ð e
mérito,ˈ m e ɾ i t o,m E ɾ i t o
méritos,ˈ m e ɾ i t o s,m E ɾ i t o s
mí,ˈ m i,m I
mías,ˈ m i a s,m I a s
mímica,ˈ m i m i k a,m I m i k a
mínimo,ˈ m i n i m o,m I n i m o
míos,ˈ m i o s,m I o s
mísera,ˈ m i s e ɾ a,m I s e ɾ a
míseramente,ˈ m i s e ɾ a ˈ m e n̪ t e,m I s e ɾ a m E n̪ t e
míseras,ˈ m i s e ɾ a s,m I s e ɾ a s
mísero,ˈ m i s e ɾ o,m I s e ɾ o
míseros,ˈ m i s e ɾ o s,m I s e ɾ o s
módulo,ˈ m o ð u l o,m O ð u l o
mórbida,ˈ m o ɾ β i ð a,m O ɾ β i ð a
mórbidamente,ˈ m o ɾ β i ð a ˈ m e n̪ t e,m O ɾ β i ð a m E n̪ t e
mórbidas,ˈ m o ɾ β i ð a s,m O ɾ β i ð a s
mórbido,ˈ m o ɾ β i ð o,m O ɾ β i ð o
mórbidos,ˈ m o ɾ β i ð o s,m O ɾ β i ð o s
móvil,ˈ m o β i l,m O β i l
móviles,ˈ m o β i l e s,m O β i l e s
múcura,ˈ m u k u ɾ a,m U k u ɾ a
múrido,ˈ m u ɾ i d o,m U ɾ i d o
músculo,ˈ m u s k u l o,m U s k u l o
música,ˈ m u s i k a,m U s i k a
músico,ˈ m u s i k o,m U s i k o
nabab,n a ˈ β a β,n a β A β
nabo,ˈ n a β o,n A β o
nacarado,n a k a ˈ ɾ a ð o,n a k a ɾ A ð o
nace,ˈ n a θ e,n A θ e
nace,ˈ n a s e,n A s e
nacer,n a ˈ s e ɾ,n a s E ɾ
nacer,n a ˈ θ e ɾ,n a θ E ɾ
nachal,n a ˈ t ʃ a l,n a t ʃ A l
nacho,ˈ n a t ʃ o,n A t ʃ o
nacida,n a ˈ θ i ð a,n a θ I ð a
nacido,n a ˈ θ i ð o,n a θ I ð o
naciendo,ˈ j e n̪ d o,j E n̪ d o
naciente,n a ˈ s j e n̪ t e,n a s j E n̪ t e
naciente,n a ˈ θ j e n̪ t e,n a θ j E n̪ t e
nacientes,n a ˈ θ j e n̪ t e s,n a θ j E n̪ t e s
nacientes,n a ˈ s j e n̪ t e s,n a s j E n̪ t e s
nacimiento,n a θ i ˈ m j e n t o,n a θ i m j E n t o
nacional,n a s j o ˈ n a l,n a s j o n A l
nacional,n a θ j o ˈ n a l,n a θ j o n A l
nacionalidad,n a θ j o n a l i ˈ ð a ð,n a θ j o n a l i ð A ð
nacionalidad,n a s j o n a l i ˈ ð a ð,n a s j o n a l i ð A ð
nacionalidades,n a θ j o n a l i ˈ ð a ð e s,n a θ j o n a l i ð A ð e s
nacionalidades,n a s j o n a l i ˈ ð a ð e s,n a s j o n a l i ð A ð e s
nacionalismo,n a θ j o n a ˈ l i s m o,n a θ j o n a l I s m o
nacionalismo,n a s j o n a ˈ l i s m o,n a s j o n a l I s m o
nacionalizaciones,n a s j o n a l i s a ˈ s j o n e s,n a s j o n a l i s a s j O n e s
nacionalizaciones,n a θ j o n a l i θ a ˈ θ j o n e s,n a θ j o n a l i θ a θ j O n e s
nacionalización,n a θ j o n a l i θ a ˈ θ j o n,n a θ j o n a l i θ a θ j O n
nacionalización,n a s j o n a l i s a ˈ s j o n,n a s j o n a l i s a s j O n
nacionalizando,ˈ a n̪ d o,A n̪ d o
nacionalizar,n a θ j o n a l i ˈ θ a ɾ,n a θ j o n a l i θ A ɾ
nacionalizar,n a s j o n a l i ˈ s a ɾ,n a s j o n a l i s A ɾ
nacionalmente,n a s j o ˈ n a l ˈ m e n t e,n a s j o n A l m E n t e
nacionalmente,n a θ j o ˈ n a l ˈ m e n t e,n a θ j o n A l m E n t e
nacionalsocialismo,n a θ j o n a l s o θ j a ˈ l i s m o,n a θ j o n a l s o θ j a l I s m o
nacionalsocialismo,n a s j o ˈ n a l s o s j a ˈ l i s m o,n a s j o n A l s o s j a l I s m o
naciones,n a ˈ θ j o n e s,n a θ j O n e s
naciones,n a ˈ s j o n e s,n a s j O n e s
nación,n a ˈ θ j o n,n a θ j O n
nación,n a ˈ s j o n,n a s j O n
naco,ˈ n a k o,n A k o
nacoruru,n a k o ˈ ɾ u ɾ u,n a k o ɾ U ɾ u
nacrita,n a ˈ k ɾ i t a,n a k ɾ I t a
nadal,n a ˈ ð a l,n a ð A l
nadando,ˈ a n̪ d o,A n̪ d o
nadar,n a ˈ ð ɾ,n a ˈ ð ɾ
nadería,n a ð e ˈ ɾ i a,n a ð e ɾ I a
nafta,ˈ n a f t a,n A f t a
nagual,n a ˈ w a l,n a w A l
naiboa,n a j ˈ β o a,n a j β O a
naiden,ˈ n a j ð e n,n A j ð e n
naif,n a ˈ i f,n a I f
naife,ˈ n a j f e,n A j f e
nailon,ˈ n a j l o n,n A j l o n
naipe,ˈ n a j p e,n A j p e
